task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	7a/2d7833	5967	align	COMPLETED	0	2023-02-25 23:30:00.558	1m 22s	1m 21s	178.2%	716.6 MB	1.4 GB	58.9 MB	18.6 MB
2	2f/a94a57	20491	basic_checks	COMPLETED	0	2023-02-25 23:31:25.536	2.9s	652ms	56.3%	33.2 MB	157.4 MB	14.6 MB	195 B
3	0d/adaa67	20490	generate_clade_tsv	COMPLETED	0	2023-02-25 23:31:25.517	3s	589ms	52.6%	22 MB	121.4 MB	8.6 MB	38.7 KB
4	60/249622	21392	generate_vcf	COMPLETED	0	2023-02-25 23:32:28.085	2.4s	1.2s	100.0%	15.1 MB	25.7 MB	25.3 MB	3.2 MB
5	1d/a44044	21564	generate_protobuf_tree	COMPLETED	0	2023-02-25 23:32:30.543	2m 15s	2m 13s	196.3%	46.3 MB	980.2 MB	3.5 MB	3.2 MB
6	45/b7ace1	23412	annotate_tree	COMPLETED	0	2023-02-25 23:34:45.159	5.2s	4s	164.4%	37.9 MB	161.2 MB	420 KB	499.4 KB
7	4c/cbf873	23699	extract_clades	COMPLETED	0	2023-02-25 23:34:50.343	2s	779ms	98.7%	17 MB	161.7 MB	389.9 KB	1022.6 KB
8	74/83b5b9	23816	generate_barcodes	COMPLETED	0	2023-02-25 23:34:52.343	2.4s	1.3s	112.2%	82.5 MB	218 MB	21.9 MB	417.1 KB
