trimmed_seq_name	complete_seq_name
A/Zambia/700159/2021	A/Zambia/700159/2021|EPI_ISL_13285547|2021-06-04
A/Zambia/22/2021	A/Zambia/0022/2021|EPI_ISL_11497682|2021-02-13
A/SouthAfrica/R15681/2021	A/South_Africa/R15681/2021|EPI_ISL_9402230|2021-10-26
A/Zambia/123/2021	A/Zambia/0123/2021|EPI_ISL_11497671|2021-03-15
A/Zambia/170/2021	A/Zambia/0170/2021|EPI_ISL_11496584|2021-04-28
A/Zambia/201/2021	A/Zambia/0201/2021|EPI_ISL_11969436|2021-04-19
A/Kenya/GIHSN-HCL022159939201/2021	A/Kenya/GIHSN-HCL022159939201/2021|EPI_ISL_16200945|2021-09-10
A/Zambia/305/2021	A/Zambia/0305/2021|EPI_ISL_11496532|2021-04-05
A/Zambia/188/2021	A/Zambia/0188/2021|EPI_ISL_11496583|2021-02-22
A/Zambia/49/2021	A/Zambia/0049/2021|EPI_ISL_11496589|2021-01-19
A/Zambia/62/2021	A/Zambia/0062/2021|EPI_ISL_11497651|2021-02-26
A/Zambia/92/2021	A/Zambia/0092/2021|EPI_ISL_11496828|2021-02-12
A/Zambia/71/2021	A/Zambia/0071/2021|EPI_ISL_11497657|2021-03-04
A/Zambia/106/2021	A/Zambia/0106/2021|EPI_ISL_12717542|2021-02-24
A/Kenya/GIHSN-HCL022162291401/2021	A/Kenya/GIHSN-HCL022162291401/2021|EPI_ISL_16201213|2021-08-24
A/Kenya/143/2021	A/Kenya/143/2021|EPI_ISL_7257636|2021-09-08
A/Kenya/GIHSN-HCL022160161601/2021	A/Kenya/GIHSN-HCL022160161601/2021|EPI_ISL_16201358|2021-08-30
A/Kenya/GIHSN-HCL022162083701/2021	A/Kenya/GIHSN-HCL022162083701/2021|EPI_ISL_16201209|2021-08-19
A/Kenya/GIHSN-HCL022160150601/2021	A/Kenya/GIHSN-HCL022160150601/2021|EPI_ISL_16201055|2021-08-23
